,Location,Retweet_Count,Date,Tweets
337,"Jaipur, India",1,Wed Feb 26 13:53:34 +0000 2020,"Unknown people lit petrol pumps Unknown people killed head constable Unknown people threw stones Actually, #NRC is necessary only to drive away and identify these unknown people.@gdarbari @Satyaje70418632 @chaudharyalok @"
338,,0,Wed Feb 26 13:36:50 +0000 2020,"@narendramodi @narendramodi_in @AmitShahOffice @AmitShah @PMOIndia @HMOIndia @kishanreddybjp ; Before implementing #UCC, #NRC , #populationcontrollaw, ensure a minimum of $1 Billion is allocated to upgrade @IPS_Association , @crpfindia and RAF"
339,"à¤—à¥‹à¤µà¤¾, à¤­à¤¾à¤°à¤¤",0,Wed Feb 26 13:32:22 +0000 2020,@ArvindKejriwal You said that the rioters were from outside Delhi and insisted to seal the borders of Delhi... Similarly #NRC is also important to drive away illegal immigrants from India and seal the Indian border... I support #CAA_NRC_NPR. @PMOIndia @na
341,India,0,Wed Feb 26 13:31:05 +0000 2020,@narendramodi Control @DelhiPolice first! and arrest @KapilMishra_IND !And only one tweet that #NRC will not b implent! Everything will b fine!
342,"Faridabad, India",0,Wed Feb 26 13:23:40 +0000 2020,@ArvindKejriwal What's happening in delhi  I don't understand We are moving forward or going back to our history and there has been such a situation that it is happy to see one religion beating the fellow of another religion;  #nrc #delhivoilence #AmitSha
361,,0,Wed Feb 26 10:15:25 +0000 2020,"@MeghUpdates These lots might have even links to jihadis of kashmir and other areas. The tears of sonia gandhi, after batla house encounter are bearing fruits. These jihadis need to be send to jahannum. @DelhiPolice track those who killed our police and i"
369,"Kolkata, India",1,Wed Feb 26 09:45:14 +0000 2020,RT @rpsharma1510: @Swamy39 @ArtiSharma001 It is identification and deportation of these illegal immigrants that the proposed #NRC targets.â€¦
400,,25,Wed Feb 26 08:05:13 +0000 2020,@AdityaRajKaul These rioters are not protestors. These are illegal immigrants from Pakistan and Bangladesh. #NRC must be implemented in Delhi as soon as possible. @AAP and Congress have provided support to these criminals.
424,à¤­à¤¾à¤°à¤¤,0,Wed Feb 26 06:25:05 +0000 2020,"These are NOT #AntiCAA or Anti #NRC protests! They ARE and have ALWAYS been HINDUPHOBIC protests with JIHAD against HINDUS being the underlying agenda. WOKE HINDUS, STOP falling for this. YOU ARE BEING USED! These people are NOT against the LAWS. THEY ARE AGAINST YOU"
430,"Vancouver, British Columbia",0,Wed Feb 26 05:46:22 +0000 2020,@ishkarnBHANDARI Sir Iâ€™m so disappointed with #BiharAssembly passing resolution against #NRC; I think itâ€™s start of @BJP4India and @narendramodi @AmitShah climb down on#NRC_CAA .
434,New Delhi,2,Wed Feb 26 05:11:58 +0000 2020,"Modiji, Please do NPR vis a vis 2010 database, verify all Voter Cards on address given itself with due publication and use Aadhar /any other Documents 4verification.... It'll control Voters on hire across regions and deny infiltration political patronage..#PMModi #pmoindia #NRC"
450,Belagavi,0,Wed Feb 26 03:33:32 +0000 2020,Dear @HMOIndia file a case against @ReallySwara in the case of theft of #NRC bill. How she knows the provisions of the bill before introducing in #Loksabha and claiming that they are anti religious.  #SwaraBhaskar #NRC_CAA_Protest #NRCNPR #IsupportCAA #NRC_NPR #DelhiRiots #Delhi
455,,1,Wed Feb 26 02:42:32 +0000 2020,@Swamy39 @ArtiSharma001 It is identification and deportation of these illegal immigrants that the proposed #NRC targets. But a community for whom national interests are secondary are against deportation of their coreligionists and that is the reason behin
457,New Delhi,0,Wed Feb 26 02:15:30 +0000 2020,What can be more idiotic than @SudhanshuTrived of @BJP4India hiding behind the SC when asked by @dibang whether #NRC should be held! Does he have no opinion of his own? Shows lack of clarity and conviction on part of @BJP4India on vital issues. It's not necessary that #NRC b used
461,,0,Wed Feb 26 00:21:06 +0000 2020,"@timesofindia @NitishKumar When did #NRC draft come out to even debate on that and reject? BTW, there are some areas that states donâ€™t have power in policies."
470,,0,Tue Feb 25 19:52:11 +0000 2020,"@IrfanPathan Then need to go back pakistani and bangladeshi muslims because they are not Indian but if you say other religions, they are also not Indian but they have no place to live except India,so let them live here and I am requesting to #CAASupport  "
476,,0,Tue Feb 25 18:41:54 +0000 2020,"Anyone who's closer to #NRC than I am, I am a Hindu and have no documents to prove my Indian citizenship, Do I get automatic citizenship or I need to prove I come from Bangladesh pre 2014?  *I know nothing of #NRC_CAA_NPR  @dhruv_rathee @ReallySwara @pokershash @desimojito"
488,India,0,Tue Feb 25 17:57:35 +0000 2020,@AhlawatPrerak @DrRupani @SreenivasanJain @MariyamAlavi One liner stmnt - Even with so many clarifications if you fail to undrstnd the repercussions of nation wide #NRC w/ step by step chronology and live examples frm Assam #NRC.I can only say you're igno
491,Bharat,0,Tue Feb 25 17:46:25 +0000 2020,@SirajUrRahmanM @pvs77 @Sreya_Chattrjee @AdityaRajKaul He said they are not acceptable documents of Citizenship and it can't be when lakhs of fake Adhar cards are being caught. A foolproof method is needed to ascertain Citizenship and #NRC is a step in th
492,India,0,Tue Feb 25 17:45:26 +0000 2020,"@AhlawatPrerak @DrRupani @SreenivasanJain @MariyamAlavi Did u find how flawed were Assam #NRC was? Whr 19lakh render stateless includes evn Indian and former president generations ,retired army officers  Evn aftr producing 15 documents by one family their"
510,Indore,0,Tue Feb 25 17:09:45 +0000 2020,"NRC is included in Federal List of Schedule VII of the Constitution. States have no authority to enact any law to defeat Central Legislation. If any State doesn't implement the Central Legislation, then it must presume the Failure of Law and Order.  #NRC"
